[100]	validation_0-rmse:0.29086	validation_1-rmse:0.29926
[101]	validation_0-rmse:0.29079	validation_1-rmse:0.29927
[102]	validation_0-rmse:0.29072	validation_1-rmse:0.29926
[103]	validation_0-rmse:0.29068	validation_1-rmse:0.29926
[104]	validation_0-rmse:0.29058	validation_1-rmse:0.29926
[105]	validation_0-rmse:0.29053	validation_1-rmse:0.29926
[106]	validation_0-rmse:0.29052	validation_1-rmse:0.29925
[107]	validation_0-rmse:0.29051	validation_1-rmse:0.29924
[108]	validation_0-rmse:0.29045	validation_1-rmse:0.29924
[109]	validation_0-rmse:0.29035	validation_1-rmse:0.29920
[110]	validation_0-rmse:0.29030	validation_1-rmse:0.29920
[111]	validation_0-rmse:0.29023	validation_1-rmse:0.29922
[112]	validation_0-rmse:0.29016	validation_1-rmse:0.29922
[113]	validation_0-rmse:0.29008	validation_1-rmse:0.29920
[114]	validation_0-rmse:0.29000	validation_1-rmse:0.29915
[115]	validation_0-rmse:0.28995	validation_1-rmse:0.29917
[116]	validation_0-rmse:0.28989	validation_1-rmse:0.29917
[117]	validation_0-rmse:0.28983	validation_1-rmse:0.29916
[118]	validation_0-rmse:0.28976	validation_1-rmse:0.29915
[119]	validation_0-rmse:0.28972	validation_1-rmse:0.29916
[120]	validation_0-rmse:0.28968	validation_1-rmse:0.29917
[121]	validation_0-rmse:0.28961	validation_1-rmse:0.29916
[122]	validation_0-rmse:0.28951	validation_1-rmse:0.29909
[123]	validation_0-rmse:0.28946	validation_1-rmse:0.29907
[124]	validation_0-rmse:0.28941	validation_1-rmse:0.29906
[125]	validation_0-rmse:0.28933	validation_1-rmse:0.29906
[126]	validation_0-rmse:0.28927	validation_1-rmse:0.29904
[127]	validation_0-rmse:0.28917	validation_1-rmse:0.29900
[128]	validation_0-rmse:0.28913	validation_1-rmse:0.29899
[129]	validation_0-rmse:0.28908	validation_1-rmse:0.29894
[130]	validation_0-rmse:0.28901	validation_1-rmse:0.29894
[131]	validation_0-rmse:0.28895	validation_1-rmse:0.29894
[132]	validation_0-rmse:0.28888	validation_1-rmse:0.29891
[133]	validation_0-rmse:0.28887	validation_1-rmse:0.29891
[134]	validation_0-rmse:0.28880	validation_1-rmse:0.29890
[135]	validation_0-rmse:0.28873	validation_1-rmse:0.29890
[136]	validation_0-rmse:0.28873	validation_1-rmse:0.29889
[137]	validation_0-rmse:0.28868	validation_1-rmse:0.29887
[138]	validation_0-rmse:0.28862	validation_1-rmse:0.29888
[139]	validation_0-rmse:0.28856	validation_1-rmse:0.29889
[140]	validation_0-rmse:0.28852	validation_1-rmse:0.29888
[141]	validation_0-rmse:0.28846	validation_1-rmse:0.29887
[142]	validation_0-rmse:0.28840	validation_1-rmse:0.29887
[143]	validation_0-rmse:0.28837	validation_1-rmse:0.29889
[144]	validation_0-rmse:0.28830	validation_1-rmse:0.29887
[145]	validation_0-rmse:0.28826	validation_1-rmse:0.29887
[146]	validation_0-rmse:0.28820	validation_1-rmse:0.29886
[147]	validation_0-rmse:0.28818	validation_1-rmse:0.29884
[148]	validation_0-rmse:0.28815	validation_1-rmse:0.29884
[149]	validation_0-rmse:0.28810	validation_1-rmse:0.29884
[150]	validation_0-rmse:0.28809	validation_1-rmse:0.29884
[151]	validation_0-rmse:0.28800	validation_1-rmse:0.29880
[152]	validation_0-rmse:0.28795	validation_1-rmse:0.29876
[153]	validation_0-rmse:0.28786	validation_1-rmse:0.29874
[154]	validation_0-rmse:0.28778	validation_1-rmse:0.29874
[155]	validation_0-rmse:0.28775	validation_1-rmse:0.29875
[156]	validation_0-rmse:0.28767	validation_1-rmse:0.29873
[157]	validation_0-rmse:0.28760	validation_1-rmse:0.29874
[158]	validation_0-rmse:0.28756	validation_1-rmse:0.29873
[159]	validation_0-rmse:0.28753	validation_1-rmse:0.29875
[160]	validation_0-rmse:0.28748	validation_1-rmse:0.29874
[161]	validation_0-rmse:0.28742	validation_1-rmse:0.29873
[162]	validation_0-rmse:0.28738	validation_1-rmse:0.29872
[163]	validation_0-rmse:0.28731	validation_1-rmse:0.29870
[164]	validation_0-rmse:0.28724	validation_1-rmse:0.29871
[165]	validation_0-rmse:0.28717	validation_1-rmse:0.29868
[166]	validation_0-rmse:0.28711	validation_1-rmse:0.29866
[167]	validation_0-rmse:0.28707	validation_1-rmse:0.29866
[168]	validation_0-rmse:0.28701	validation_1-rmse:0.29866
[169]	validation_0-rmse:0.28695	validation_1-rmse:0.29866
[170]	validation_0-rmse:0.28689	validation_1-rmse:0.29866
[171]	validation_0-rmse:0.28677	validation_1-rmse:0.29860
[172]	validation_0-rmse:0.28669	validation_1-rmse:0.29857
[173]	validation_0-rmse:0.28666	validation_1-rmse:0.29858
[174]	validation_0-rmse:0.28659	validation_1-rmse:0.29854
[175]	validation_0-rmse:0.28653	validation_1-rmse:0.29857
[176]	validation_0-rmse:0.28651	validation_1-rmse:0.29858
[177]	validation_0-rmse:0.28644	validation_1-rmse:0.29858
[178]	validation_0-rmse:0.28639	validation_1-rmse:0.29859
[179]	validation_0-rmse:0.28632	validation_1-rmse:0.29856
[180]	validation_0-rmse:0.28628	validation_1-rmse:0.29854
[181]	validation_0-rmse:0.28623	validation_1-rmse:0.29852
[182]	validation_0-rmse:0.28623	validation_1-rmse:0.29852
[183]	validation_0-rmse:0.28619	validation_1-rmse:0.29852
[184]	validation_0-rmse:0.28612	validation_1-rmse:0.29852
[185]	validation_0-rmse:0.28607	validation_1-rmse:0.29850
[186]	validation_0-rmse:0.28601	validation_1-rmse:0.29849
[187]	validation_0-rmse:0.28596	validation_1-rmse:0.29848
[188]	validation_0-rmse:0.28591	validation_1-rmse:0.29847
[189]	validation_0-rmse:0.28585	validation_1-rmse:0.29847
[190]	validation_0-rmse:0.28579	validation_1-rmse:0.29847
[191]	validation_0-rmse:0.28578	validation_1-rmse:0.29846
[192]	validation_0-rmse:0.28569	validation_1-rmse:0.29847
[193]	validation_0-rmse:0.28564	validation_1-rmse:0.29847
[194]	validation_0-rmse:0.28557	validation_1-rmse:0.29847
[195]	validation_0-rmse:0.28550	validation_1-rmse:0.29846
[196]	validation_0-rmse:0.28545	validation_1-rmse:0.29846
[197]	validation_0-rmse:0.28544	validation_1-rmse:0.29845
[198]	validation_0-rmse:0.28538	validation_1-rmse:0.29845
[199]	validation_0-rmse:0.28532	validation_1-rmse:0.29844
[200]	validation_0-rmse:0.28524	validation_1-rmse:0.29842
[201]	validation_0-rmse:0.28519	validation_1-rmse:0.29841
[202]	validation_0-rmse:0.28514	validation_1-rmse:0.29843
[203]	validation_0-rmse:0.28509	validation_1-rmse:0.29843
[204]	validation_0-rmse:0.28501	validation_1-rmse:0.29840
[205]	validation_0-rmse:0.28494	validation_1-rmse:0.29842
[206]	validation_0-rmse:0.28485	validation_1-rmse:0.29839
[207]	validation_0-rmse:0.28479	validation_1-rmse:0.29837
[208]	validation_0-rmse:0.28474	validation_1-rmse:0.29835
[209]	validation_0-rmse:0.28471	validation_1-rmse:0.29837
[210]	validation_0-rmse:0.28466	validation_1-rmse:0.29837
[211]	validation_0-rmse:0.28459	validation_1-rmse:0.29836
[212]	validation_0-rmse:0.28457	validation_1-rmse:0.29837
[213]	validation_0-rmse:0.28451	validation_1-rmse:0.29836
[214]	validation_0-rmse:0.28451	validation_1-rmse:0.29835
[215]	validation_0-rmse:0.28447	validation_1-rmse:0.29835
[216]	validation_0-rmse:0.28443	validation_1-rmse:0.29835
[217]	validation_0-rmse:0.28438	validation_1-rmse:0.29836
[218]	validation_0-rmse:0.28433	validation_1-rmse:0.29835
[219]	validation_0-rmse:0.28429	validation_1-rmse:0.29833
[220]	validation_0-rmse:0.28425	validation_1-rmse:0.29831
[221]	validation_0-rmse:0.28420	validation_1-rmse:0.29832
[222]	validation_0-rmse:0.28415	validation_1-rmse:0.29832
[223]	validation_0-rmse:0.28413	validation_1-rmse:0.29833
[224]	validation_0-rmse:0.28404	validation_1-rmse:0.29832
[225]	validation_0-rmse:0.28399	validation_1-rmse:0.29831
[226]	validation_0-rmse:0.28398	validation_1-rmse:0.29832
[227]	validation_0-rmse:0.28396	validation_1-rmse:0.29834
[228]	validation_0-rmse:0.28389	validation_1-rmse:0.29835
[229]	validation_0-rmse:0.28383	validation_1-rmse:0.29836
[230]	validation_0-rmse:0.28379	validation_1-rmse:0.29837
[231]	validation_0-rmse:0.28372	validation_1-rmse:0.29838
[232]	validation_0-rmse:0.28369	validation_1-rmse:0.29839
[233]	validation_0-rmse:0.28365	validation_1-rmse:0.29838
[234]	validation_0-rmse:0.28363	validation_1-rmse:0.29838
[235]	validation_0-rmse:0.28359	validation_1-rmse:0.29839
[236]	validation_0-rmse:0.28355	validation_1-rmse:0.29837
[237]	validation_0-rmse:0.28354	validation_1-rmse:0.29838
[238]	validation_0-rmse:0.28353	validation_1-rmse:0.29838
[239]	validation_0-rmse:0.28349	validation_1-rmse:0.29838
[240]	validation_0-rmse:0.28347	validation_1-rmse:0.29840
[241]	validation_0-rmse:0.28347	validation_1-rmse:0.29840
[242]	validation_0-rmse:0.28343	validation_1-rmse:0.29839
[243]	validation_0-rmse:0.28338	validation_1-rmse:0.29841
[244]	validation_0-rmse:0.28334	validation_1-rmse:0.29839
[245]	validation_0-rmse:0.28328	validation_1-rmse:0.29840
[246]	validation_0-rmse:0.28322	validation_1-rmse:0.29840
[247]	validation_0-rmse:0.28316	validation_1-rmse:0.29840
[248]	validation_0-rmse:0.28315	validation_1-rmse:0.29841
[249]	validation_0-rmse:0.28312	validation_1-rmse:0.29841
[250]	validation_0-rmse:0.28308	validation_1-rmse:0.29841
[251]	validation_0-rmse:0.28302	validation_1-rmse:0.29838
[252]	validation_0-rmse:0.28297	validation_1-rmse:0.29838
[253]	validation_0-rmse:0.28291	validation_1-rmse:0.29836
[254]	validation_0-rmse:0.28286	validation_1-rmse:0.29837
[255]	validation_0-rmse:0.28277	validation_1-rmse:0.29834
[256]	validation_0-rmse:0.28272	validation_1-rmse:0.29834
[257]	validation_0-rmse:0.28265	validation_1-rmse:0.29834
[258]	validation_0-rmse:0.28259	validation_1-rmse:0.29835
[259]	validation_0-rmse:0.28252	validation_1-rmse:0.29833
[260]	validation_0-rmse:0.28249	validation_1-rmse:0.29832
[261]	validation_0-rmse:0.28245	validation_1-rmse:0.29832
[262]	validation_0-rmse:0.28242	validation_1-rmse:0.29832
[263]	validation_0-rmse:0.28237	validation_1-rmse:0.29835
[264]	validation_0-rmse:0.28231	validation_1-rmse:0.29835
[265]	validation_0-rmse:0.28227	validation_1-rmse:0.29835
[266]	validation_0-rmse:0.28224	validation_1-rmse:0.29835
[267]	validation_0-rmse:0.28219	validation_1-rmse:0.29833
[268]	validation_0-rmse:0.28215	validation_1-rmse:0.29831
[269]	validation_0-rmse:0.28212	validation_1-rmse:0.29831
[270]	validation_0-rmse:0.28210	validation_1-rmse:0.29831
[271]	validation_0-rmse:0.28206	validation_1-rmse:0.29833
